,policy_id,incident_hour,num_claims_past_year,num_vehicles_involved,injury_claim,collision_type_front,customer_education,authorities_contacted_ambulance,num_witnesses,incident_month,driver_relationship_child,policy_state_or,authorities_contacted_fire,incident_severity,incident_type_breakin,customer_gender_male,policy_liability,num_insurers_past_5_years,incident_type_theft,policy_state_az,police_report_available,policy_deductable,collision_type_rear,collision_type_side,fraud,driver_relationship_self,incident_type_collision,authorities_contacted_police,num_injuries,incident_dow,policy_state_id,policy_state_wa,customer_age,vehicle_claim,driver_relationship_spouse,policy_annual_premium,collision_type_na,driver_relationship_other,authorities_contacted_none,auto_year,customer_gender_female,total_claim_amount,driver_relationship_na,policy_state_ca,policy_state_nv,incident_day,months_as_customer
11,4463,10,0,2,0.0,1,3,0,0,1,0,0,0,0,0,1,1,3,0,0,0,750,0,0,0,1,1,0,0,2,0,0,28,17500.0,0,3000,0,0,1,2018,0,17500.0,0,1,0,2,45
12,3254,3,0,3,9000.0,0,2,0,0,3,0,0,0,2,0,1,3,1,0,0,1,750,0,1,0,1,1,1,1,1,0,0,31,36000.0,0,2850,0,0,0,2018,0,45000.0,0,1,0,12,39
13,4949,12,0,1,0.0,1,1,0,0,10,0,0,1,2,0,0,3,4,0,0,0,750,0,0,0,1,1,0,0,0,0,0,22,26500.0,0,2850,0,0,0,2012,1,26500.0,0,1,0,28,19
14,4972,16,0,1,0.0,1,3,0,0,6,0,0,0,1,0,1,1,1,0,1,0,750,0,0,0,1,1,1,0,0,0,0,37,17500.0,0,3000,0,0,0,2017,0,17500.0,0,0,0,24,107
15,88,17,0,2,0.0,0,2,0,1,2,0,0,0,0,0,0,1,1,0,0,0,750,0,1,0,1,1,0,0,2,0,0,36,21500.0,0,3000,0,0,1,2018,1,21500.0,0,1,0,20,76
16,2056,0,0,3,4500.0,1,3,0,1,5,0,0,0,2,0,1,1,1,0,0,1,750,0,0,0,1,1,1,1,1,0,0,22,22500.0,0,3000,0,0,0,2013,0,27000.0,0,1,0,21,33
17,3830,21,0,3,16000.0,1,1,0,0,6,0,0,0,2,0,1,3,1,0,0,1,750,0,0,0,1,1,1,1,0,1,0,51,39500.0,0,3000,0,0,0,2019,0,55500.0,0,0,0,24,165
18,3854,11,0,2,0.0,0,4,0,1,8,0,0,0,1,0,1,3,1,0,0,0,750,1,0,0,1,1,1,0,4,0,0,56,17000.0,0,2650,0,0,0,2020,0,17000.0,0,1,0,9,124
19,2382,7,0,3,22500.0,0,1,0,2,1,0,0,0,2,0,0,1,1,0,1,1,750,1,0,0,1,1,1,1,3,0,0,23,26500.0,0,3000,0,0,0,2013,1,49000.0,0,0,0,10,49
20,2447,6,0,2,0.0,1,1,0,1,4,0,0,0,0,0,0,1,1,0,0,0,750,0,0,0,1,1,0,0,1,0,0,54,3000.0,0,3000,0,0,1,2014,1,3000.0,0,1,0,2,224
21,4289,14,0,2,14000.0,0,1,0,1,12,0,0,0,1,0,0,1,1,0,0,0,750,1,0,0,1,1,1,3,2,0,0,51,19000.0,0,3000,0,0,0,2020,1,33000.0,0,1,0,25,112
22,1053,18,0,1,0.0,1,3,0,0,7,0,0,0,0,0,1,1,2,0,1,0,750,0,0,0,1,1,0,0,0,0,0,40,11500.0,0,3000,0,0,1,2013,0,11500.0,0,0,0,8,51
23,1230,17,0,4,60000.0,1,3,0,4,6,0,0,0,2,0,1,2,3,0,0,1,750,0,0,0,1,1,1,2,1,1,0,33,19500.0,0,2650,0,0,0,2009,0,79500.0,0,0,0,4,28
24,1465,6,0,2,0.0,0,3,0,0,11,0,0,0,0,0,1,1,1,0,1,0,750,0,1,0,1,1,0,0,4,0,0,54,9500.0,0,2550,0,0,1,2017,0,9500.0,0,0,0,1,243
25,3108,6,0,3,0.0,1,3,0,4,12,0,0,0,2,0,1,0,1,0,0,1,750,0,0,0,0,1,1,0,2,0,0,47,43000.0,1,3000,0,0,0,2016,0,43000.0,0,1,0,11,84
26,3236,16,0,2,0.0,0,3,0,0,5,0,1,0,0,0,1,1,1,0,0,0,750,1,0,0,1,1,0,0,2,0,0,26,10500.0,0,3000,0,0,1,2017,0,10500.0,0,0,0,8,68
27,1616,16,0,3,13500.0,0,4,0,2,2,0,0,0,2,0,1,0,1,0,0,1,750,1,0,0,1,1,1,4,2,0,0,38,33500.0,0,3000,0,0,0,2017,0,47000.0,0,1,0,6,123
28,3354,10,0,1,0.0,0,4,0,0,1,0,0,0,0,1,1,1,1,0,0,0,750,0,0,0,0,0,1,0,1,0,0,62,11000.0,0,2600,1,0,0,2017,0,11000.0,1,1,0,22,157
29,190,18,0,2,0.0,0,3,0,1,12,0,0,0,0,0,1,3,1,0,0,0,750,1,0,0,1,1,0,0,2,0,0,29,11500.0,0,2700,0,0,1,2010,0,11500.0,0,1,0,25,89
30,402,16,0,4,32000.0,0,3,0,3,1,0,0,0,2,0,1,3,1,0,0,1,750,1,0,0,1,1,1,4,0,0,0,48,40500.0,0,3000,0,0,0,2020,0,72500.0,0,1,0,21,20
31,528,9,0,1,0.0,0,3,0,0,3,0,0,0,0,0,1,1,3,0,0,0,750,0,1,1,1,1,0,0,1,0,0,21,4500.0,0,3000,0,0,1,2012,0,4500.0,0,1,0,5,2
32,2464,3,0,2,0.0,0,3,0,1,9,0,0,0,0,0,0,0,1,0,0,1,750,1,0,0,1,1,1,0,6,0,0,40,15500.0,0,3000,0,0,0,2016,1,15500.0,0,1,0,29,47
33,2756,8,0,1,0.0,0,2,0,0,8,0,0,0,0,0,1,2,1,0,0,0,750,0,1,0,1,1,0,0,4,0,0,43,7000.0,0,2650,0,0,1,2018,0,7000.0,0,1,0,23,145
34,2767,12,0,1,0.0,0,4,0,0,8,0,0,0,1,1,0,0,4,0,0,0,750,0,0,0,0,0,1,0,3,0,0,41,12500.0,0,2800,1,0,0,2012,1,12500.0,1,1,0,15,8
35,4589,1,0,3,0.0,1,1,0,4,10,0,0,0,0,0,0,1,1,0,0,1,750,0,0,0,1,1,1,0,3,0,0,44,19500.0,0,2900,0,0,0,2017,1,19500.0,0,1,0,3,89
36,3043,17,1,2,0.0,1,3,0,2,9,0,0,0,0,0,1,3,1,0,0,1,750,0,0,0,1,1,1,0,6,1,0,23,18000.0,0,3000,0,0,0,2017,0,18000.0,0,0,0,22,65
37,3125,8,0,3,11000.0,0,4,0,1,5,0,0,0,1,0,0,0,1,0,0,1,750,0,1,0,1,1,1,4,2,0,0,60,10000.0,0,2600,0,0,0,2014,1,21000.0,0,1,0,8,172
38,1645,21,0,3,5500.0,1,4,0,1,10,0,1,0,2,0,1,2,1,0,0,1,750,0,0,0,1,1,1,1,0,0,0,66,19500.0,0,3000,0,0,0,2007,0,25000.0,0,0,0,21,159
39,3377,18,0,2,25000.0,1,3,0,0,2,0,0,0,1,0,0,1,1,0,0,1,750,0,0,0,0,1,1,1,2,0,0,51,21000.0,1,3000,0,0,0,2017,1,46000.0,0,1,0,20,237
40,92,12,0,2,25000.0,1,1,0,1,11,0,0,0,1,0,0,1,1,0,0,0,750,0,0,0,1,1,1,1,2,0,0,52,21500.0,0,3000,0,0,0,2019,1,46500.0,0,1,0,20,158
41,3819,6,0,1,0.0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,750,0,0,0,0,0,1,0,4,0,0,58,14500.0,0,2550,1,0,0,2018,0,14500.0,1,1,0,25,113
42,4100,8,1,3,0.0,1,0,0,1,4,0,0,0,0,0,1,2,1,0,1,1,750,0,0,0,1,1,1,0,5,0,0,46,14000.0,0,3000,0,0,0,2013,0,14000.0,0,0,0,13,127
43,2621,18,0,3,16000.0,0,1,0,3,12,0,0,0,1,0,0,1,1,0,0,1,750,1,0,0,1,1,1,3,3,0,0,19,15500.0,0,3000,0,0,0,2015,1,31500.0,0,1,0,26,4
44,1383,14,0,3,18000.0,0,1,0,2,4,0,0,0,2,0,1,2,1,0,0,1,750,1,0,0,1,1,1,1,3,0,0,54,35500.0,0,3000,0,0,0,2017,0,53500.0,0,1,0,4,166
45,3433,17,0,2,0.0,0,3,0,2,3,0,0,0,0,0,1,1,1,0,0,0,750,1,0,0,1,1,1,0,4,0,0,42,12500.0,0,3000,0,0,0,2016,0,12500.0,0,1,0,1,43
46,379,14,0,2,0.0,0,1,0,1,3,0,0,0,0,0,1,2,1,0,1,0,750,0,1,0,1,1,0,0,2,0,0,45,8500.0,0,3000,0,0,1,2017,0,8500.0,0,0,0,20,130
47,3871,15,0,2,25000.0,0,2,0,2,8,1,0,0,1,0,0,1,1,0,0,0,750,1,0,0,0,1,1,1,2,0,0,48,15000.0,0,3000,0,0,0,2016,1,40000.0,0,1,0,14,140
48,4070,19,0,2,0.0,0,3,0,0,12,0,0,0,0,0,1,2,1,0,0,0,800,1,0,0,1,1,1,0,0,0,0,36,1000.0,0,2450,0,0,0,2006,0,1000.0,0,1,0,9,60
49,914,11,0,3,10000.0,1,3,0,1,12,0,0,0,2,0,0,1,1,0,0,1,750,0,0,0,1,1,1,1,0,0,0,43,28500.0,0,3000,0,0,0,2016,1,38500.0,0,1,0,16,183
50,4257,14,0,2,0.0,1,3,0,0,10,0,0,0,1,0,1,1,1,0,0,1,750,0,0,0,1,1,1,0,6,1,0,41,11500.0,0,2750,0,0,0,2012,0,11500.0,0,0,0,13,108
51,4313,18,0,3,0.0,1,3,0,1,12,0,0,0,0,0,0,0,1,0,1,1,750,0,0,0,1,1,1,0,2,0,0,51,17000.0,0,3000,0,0,0,2015,1,17000.0,0,0,0,18,74
52,4436,7,0,2,0.0,0,3,0,1,3,0,0,0,0,0,0,0,1,0,0,1,750,0,1,0,1,1,1,0,3,0,0,44,4000.0,0,3000,0,0,0,2011,1,4000.0,0,1,0,21,77
53,4638,13,0,3,0.0,0,3,0,1,7,0,0,0,2,0,1,0,5,0,0,1,750,0,1,1,1,1,1,0,4,0,0,57,34000.0,0,3000,0,0,0,2017,0,34000.0,0,1,0,19,12
54,1748,10,0,2,0.0,0,3,0,1,10,0,0,0,0,0,0,0,1,0,0,0,750,0,1,0,1,1,1,0,5,0,0,38,7000.0,0,3000,0,0,0,2020,1,7000.0,0,1,0,12,136
55,3422,14,0,1,0.0,0,4,0,0,4,0,0,0,0,1,1,0,2,0,0,0,750,0,0,0,0,0,1,0,0,0,0,63,11000.0,0,3000,1,0,0,2009,0,11000.0,1,1,0,8,52
56,1791,19,0,3,60000.0,1,1,0,1,12,0,0,0,2,0,1,2,3,0,0,1,750,0,0,0,1,1,1,4,0,0,0,26,33000.0,0,3000,0,0,0,2018,0,93000.0,0,1,0,30,42
57,3530,20,0,3,24500.0,1,3,0,2,6,0,0,0,2,0,1,0,3,0,0,1,750,0,0,0,1,1,1,3,4,0,0,31,29500.0,0,2800,0,0,0,2014,0,54000.0,0,1,0,7,31
58,259,19,0,3,16000.0,0,3,0,2,11,0,1,0,1,0,1,1,3,0,0,1,750,1,0,0,1,1,1,1,2,0,0,27,20500.0,0,3000,0,0,0,2019,0,36500.0,0,0,0,13,11
59,3783,3,0,3,0.0,0,4,0,1,10,0,0,0,0,0,0,1,1,0,0,1,750,0,1,0,1,1,1,0,1,0,0,32,5000.0,0,3000,0,0,0,2014,1,5000.0,0,1,0,15,66
60,2638,13,0,1,0.0,0,4,0,0,1,0,1,0,0,1,1,3,1,0,0,0,750,0,0,0,0,0,1,0,6,0,0,52,9500.0,0,3000,1,0,0,2020,0,9500.0,1,0,0,6,199
61,4237,16,0,2,25000.0,1,3,0,1,11,0,0,0,2,0,0,1,1,0,0,0,750,0,0,0,0,1,1,1,4,0,0,55,41500.0,0,2900,0,1,0,2018,1,66500.0,0,1,0,1,100
62,1118,22,0,1,0.0,0,1,0,0,6,0,0,0,0,1,1,2,3,0,0,0,750,0,0,0,0,0,1,0,0,0,0,18,4500.0,0,3000,1,0,0,2018,0,4500.0,1,1,0,10,3
63,4761,5,0,2,0.0,0,1,0,0,11,0,0,0,1,0,1,3,1,0,0,0,750,1,0,0,1,1,1,0,5,0,0,36,15500.0,0,3000,0,0,0,2017,0,15500.0,0,1,0,23,67
64,1955,10,0,1,0.0,0,1,0,0,7,0,0,0,0,0,1,0,3,0,0,0,750,0,1,0,1,1,0,0,4,0,0,27,13500.0,0,3000,0,0,1,2017,0,13500.0,0,1,0,26,46
65,478,21,0,2,7000.0,0,3,0,0,4,0,0,0,1,0,1,3,1,0,0,1,750,0,1,0,1,1,1,1,4,0,0,51,26500.0,0,2700,0,0,0,2019,0,33500.0,0,1,0,26,233
66,578,13,0,2,6000.0,1,3,1,0,3,0,0,0,2,0,1,0,1,0,0,0,750,0,0,0,1,1,0,3,2,0,0,22,36500.0,0,3000,0,0,0,2017,0,42500.0,0,1,0,6,40
67,2434,16,0,3,0.0,1,2,0,1,5,0,0,0,0,0,1,1,1,0,0,1,750,0,0,0,1,1,1,0,2,0,1,32,10500.0,0,2950,0,0,0,2020,0,10500.0,0,0,0,22,71
68,4048,16,0,3,0.0,0,3,0,1,12,0,0,0,2,0,1,0,3,0,0,1,750,0,1,0,1,1,1,0,3,0,0,24,42500.0,0,3000,0,0,0,2020,0,42500.0,0,1,0,26,45
69,4398,16,0,2,15000.0,0,3,0,0,4,0,0,1,2,0,1,0,1,0,0,0,750,1,0,0,0,1,0,1,5,0,0,42,29500.0,1,3000,0,0,0,2015,0,44500.0,0,1,0,6,76
70,2877,4,0,1,0.0,0,1,0,0,2,0,0,0,0,1,0,0,3,0,0,0,750,0,0,0,0,0,1,0,4,0,0,54,13000.0,0,2650,1,0,0,2018,1,13000.0,1,1,0,15,1
71,1248,13,0,3,11000.0,0,3,0,1,5,0,0,0,1,0,1,0,2,0,0,1,750,0,1,0,1,1,1,1,0,0,0,20,16000.0,0,3000,0,0,0,2015,0,27000.0,0,1,0,13,10
72,2901,6,0,3,3500.0,0,1,0,2,7,0,0,0,1,0,1,3,1,0,0,1,750,1,0,0,1,1,1,1,2,0,1,40,11000.0,0,3000,0,0,0,2010,0,14500.0,0,0,0,17,119
73,4772,10,0,1,0.0,1,3,0,0,10,0,0,0,0,0,1,2,1,0,0,0,750,0,0,0,1,1,0,0,6,0,1,38,18000.0,0,3000,0,0,1,2019,0,18000.0,0,0,0,6,164
74,3151,13,0,3,12500.0,1,2,0,2,2,0,0,0,2,0,1,2,1,0,1,1,750,0,0,0,1,1,1,1,0,0,0,65,35500.0,0,2550,0,0,0,2018,0,48000.0,0,0,0,25,277
75,3419,16,0,1,0.0,0,3,0,0,11,0,0,0,0,0,1,2,1,0,0,0,750,0,1,0,1,1,0,0,4,0,0,61,7000.0,0,3000,0,0,1,2019,0,7000.0,0,1,0,22,108
76,3617,8,0,1,0.0,0,1,0,0,1,0,1,0,0,0,1,1,2,0,0,0,750,1,0,0,1,1,0,0,0,0,0,54,8000.0,0,3000,0,0,1,2017,0,8000.0,0,0,0,14,55
77,2476,3,0,3,0.0,0,4,0,2,11,0,0,0,0,0,1,0,2,0,1,1,750,0,1,0,1,1,1,0,4,0,0,38,13500.0,0,3000,0,0,0,2020,0,13500.0,0,0,0,15,17
78,4145,2,0,2,0.0,1,3,0,0,4,0,0,0,0,0,1,2,1,0,0,0,750,0,0,0,1,1,0,0,6,0,0,64,10500.0,0,2800,0,0,1,2018,0,10500.0,0,1,0,14,184
79,4274,16,0,3,5500.0,1,3,0,4,2,0,0,0,2,0,0,2,1,0,0,1,750,0,0,0,1,1,1,1,0,0,0,69,31500.0,0,2800,0,0,0,2015,1,37000.0,0,1,0,18,220
80,1088,13,0,1,0.0,0,2,0,0,12,0,0,0,0,1,1,3,1,0,0,0,750,0,0,0,0,0,1,0,6,0,0,41,13500.0,0,3000,1,0,0,2019,0,13500.0,1,1,0,29,114
81,1274,13,1,2,0.0,1,1,0,0,2,0,0,0,1,0,1,3,1,0,0,1,750,0,0,0,1,1,1,0,4,0,1,33,20000.0,0,3000,0,0,0,2020,0,20000.0,0,0,0,15,109
82,4541,16,0,1,0.0,0,4,0,0,9,0,0,0,0,0,1,2,5,0,0,0,750,0,1,1,1,1,0,0,2,0,1,53,10500.0,0,3000,0,0,1,2017,0,10500.0,0,0,0,11,14
83,1370,20,0,1,0.0,0,4,0,0,1,0,0,0,0,1,0,2,2,0,0,0,750,0,0,0,0,0,1,0,6,0,1,40,4000.0,0,3000,1,0,0,2015,1,4000.0,1,0,0,6,2
84,3133,16,0,1,0.0,0,3,0,0,12,0,0,0,0,0,1,1,4,0,0,0,750,0,1,1,0,1,0,0,1,0,0,36,8000.0,0,3000,0,1,1,2013,0,8000.0,0,1,0,10,3
85,4912,19,0,2,0.0,1,2,0,1,10,0,0,0,1,0,1,2,1,0,1,1,750,0,0,0,0,1,1,0,2,0,0,56,20000.0,1,3000,0,0,0,2017,0,20000.0,0,0,0,2,113
86,3887,10,0,3,0.0,0,3,0,2,10,0,0,0,1,0,1,0,4,0,0,1,750,1,0,0,1,1,1,0,1,0,0,48,15500.0,0,3000,0,0,0,2017,0,15500.0,0,1,0,29,32
87,2349,23,0,2,0.0,1,4,0,3,10,0,0,0,1,0,0,0,1,0,1,1,750,0,0,0,1,1,1,0,1,0,0,52,13000.0,0,3000,0,0,0,2016,1,13000.0,0,0,0,22,210
88,976,7,0,2,0.0,0,1,0,0,1,0,1,1,2,0,1,3,2,0,0,0,750,1,0,0,1,1,0,0,5,0,0,72,39500.0,0,3000,0,0,0,2019,0,39500.0,0,0,0,19,55
89,1267,9,0,2,25000.0,0,1,0,1,3,0,0,0,2,0,0,1,1,0,0,0,750,0,1,0,1,1,1,1,5,0,1,33,37000.0,0,3000,0,0,0,2018,1,62000.0,0,0,0,2,103
90,1390,9,0,3,9000.0,1,2,0,3,9,0,1,0,1,0,1,3,1,0,0,1,750,0,0,0,1,1,1,1,2,0,0,52,10500.0,0,3000,0,0,0,2017,0,19500.0,0,0,0,18,168
91,4837,4,0,1,0.0,0,3,0,0,9,0,0,0,0,1,1,1,1,0,0,0,750,0,0,0,0,0,1,0,3,0,0,42,4000.0,0,2600,1,0,0,2018,0,4000.0,1,1,0,19,118
92,68,16,0,1,0.0,0,1,0,0,8,0,1,0,0,0,1,2,1,0,0,0,750,1,0,0,1,1,0,0,3,0,0,46,14000.0,0,3000,0,0,1,2019,0,14000.0,0,0,0,29,250
93,287,4,0,2,0.0,0,3,0,2,2,0,0,0,0,0,1,0,1,0,0,0,750,1,0,0,1,1,0,0,2,0,0,57,7500.0,0,3000,0,0,1,2016,0,7500.0,0,1,0,13,65
94,3712,9,0,2,22500.0,0,3,0,3,2,0,0,0,1,0,0,1,1,0,0,0,750,1,0,0,0,1,1,1,5,0,1,48,22500.0,0,3000,0,1,0,2018,1,45000.0,0,0,0,16,103
95,491,7,0,4,0.0,1,3,0,3,12,0,0,0,2,0,1,1,1,0,0,1,750,0,0,0,0,1,1,0,1,1,0,44,36000.0,1,3000,0,0,0,2015,0,36000.0,0,0,0,10,141
96,2224,1,1,3,6000.0,1,3,0,3,11,0,0,0,2,0,0,1,1,0,1,1,750,0,0,0,1,1,1,1,0,0,0,62,35000.0,0,3000,0,0,0,2016,1,41000.0,0,0,0,25,201
97,601,16,0,2,0.0,1,3,0,2,3,0,0,0,0,0,1,1,1,0,0,0,750,0,0,0,0,1,1,0,1,0,0,34,17500.0,1,3000,0,0,0,2015,0,17500.0,0,1,0,26,143
98,3979,12,0,1,0.0,0,3,0,0,7,0,0,0,0,1,1,0,1,0,0,0,750,0,0,0,0,0,0,0,4,0,0,25,7000.0,0,3000,1,0,1,2016,0,7000.0,1,1,0,19,2
99,3980,0,0,2,0.0,0,1,0,1,6,0,0,0,0,0,1,3,2,0,0,0,750,1,0,0,1,1,0,0,1,0,0,34,10000.0,0,3000,0,0,1,2020,0,10000.0,0,1,0,11,40
100,4002,6,0,2,0.0,1,1,1,0,4,0,0,0,1,0,0,2,2,0,0,0,750,0,0,0,1,1,0,0,2,0,0,52,14000.0,0,3000,0,0,0,2018,1,14000.0,0,1,0,3,54
101,4073,12,0,1,0.0,0,1,0,0,7,0,0,0,1,0,1,1,1,1,0,0,750,0,0,0,0,0,1,0,1,0,1,41,21500.0,0,3000,1,0,0,2018,0,21500.0,1,0,0,2,256
102,2709,5,0,3,0.0,1,3,0,2,6,0,0,0,2,0,0,3,1,0,1,1,750,0,0,0,0,1,1,0,0,0,0,60,40500.0,1,3000,0,0,0,2017,1,40500.0,0,0,0,24,195
103,4430,5,0,1,0.0,1,3,0,0,6,0,0,0,0,0,1,0,1,0,0,0,750,0,0,0,1,1,0,0,0,0,0,51,10500.0,0,3000,0,0,1,2014,0,10500.0,0,1,0,3,239
104,4451,14,0,4,50000.0,1,3,0,1,11,0,0,0,2,0,1,1,1,0,0,1,750,0,0,0,1,1,1,2,6,0,0,42,31500.0,0,2900,0,0,0,2017,0,81500.0,0,1,0,24,112
105,2888,15,0,2,0.0,1,3,0,2,6,0,0,0,0,0,1,0,3,0,0,0,750,0,0,0,1,1,0,0,3,0,0,28,6500.0,0,3000,0,0,1,2013,0,6500.0,0,1,0,20,32
106,3033,3,0,2,4500.0,0,3,0,0,10,0,0,0,2,0,1,0,1,0,0,1,750,1,0,0,1,1,1,1,3,0,0,62,35500.0,0,3000,0,0,0,2014,0,40000.0,0,1,0,31,115
107,3274,5,0,1,0.0,0,4,0,0,10,0,0,0,0,1,1,2,1,0,0,0,750,0,0,0,0,0,1,0,6,0,0,35,3500.0,0,2850,1,0,0,2016,0,3500.0,1,1,0,13,145
108,4964,16,0,2,0.0,1,3,0,3,10,0,0,0,0,0,0,1,1,0,0,0,750,0,0,0,1,1,0,0,1,0,0,35,10000.0,0,3000,0,0,1,2018,1,10000.0,0,0,1,22,99
109,42,15,0,2,0.0,0,2,0,1,3,0,0,0,0,0,1,0,1,0,1,0,750,1,0,1,0,1,0,0,3,0,0,36,4000.0,0,2750,0,1,1,2017,0,4000.0,0,0,0,21,83
110,1787,16,0,2,0.0,1,1,0,0,12,0,0,0,0,0,0,3,1,0,0,0,750,0,0,0,1,1,0,0,4,0,0,57,4000.0,0,3000,0,0,1,2012,1,4000.0,0,1,0,27,174
111,216,13,0,1,0.0,0,2,0,0,11,0,0,0,1,1,1,0,1,0,0,0,750,0,0,0,0,0,1,0,0,0,0,31,23000.0,0,3000,1,0,0,2019,0,23000.0,1,1,0,4,39
112,545,7,0,4,13500.0,0,1,0,1,3,0,0,0,2,0,1,3,4,0,0,1,750,0,1,0,0,1,1,4,2,0,0,24,26000.0,1,2650,0,0,0,2013,0,39500.0,0,1,0,27,9
113,668,19,0,2,0.0,0,1,0,1,10,0,0,0,0,0,1,0,1,0,0,0,750,1,0,0,1,1,0,0,3,0,0,66,14000.0,0,3000,0,0,1,2019,0,14000.0,0,1,0,31,211
114,2389,18,0,1,0.0,0,4,0,0,7,0,0,0,0,0,1,2,1,0,0,0,750,0,1,0,0,1,0,0,3,0,0,56,14500.0,0,2600,0,1,1,2017,0,14500.0,0,1,0,11,138
115,2390,9,0,2,0.0,1,3,0,2,8,0,0,0,1,0,1,0,1,0,0,0,750,0,0,0,1,1,1,0,4,0,0,33,16500.0,0,2700,0,0,0,2015,0,16500.0,0,1,0,16,82
116,4164,15,0,1,0.0,0,4,0,0,2,0,0,0,1,0,1,1,3,1,0,0,750,0,0,0,0,0,1,0,0,0,0,24,11000.0,0,3000,1,0,0,2020,0,11000.0,1,0,1,4,27
117,2675,9,0,2,0.0,1,0,0,0,1,0,1,0,1,0,1,2,1,0,0,1,750,0,0,0,1,1,1,0,3,0,0,53,17000.0,0,2550,0,0,0,2012,0,17000.0,0,0,0,31,118
118,2702,3,0,2,0.0,1,3,0,1,11,0,0,0,1,0,1,0,1,0,1,1,750,0,0,0,1,1,1,0,5,0,0,36,13500.0,0,3000,0,0,0,2016,0,13500.0,0,0,0,9,121
119,1638,4,0,2,0.0,0,3,0,0,1,0,0,0,0,0,1,0,2,0,0,0,750,0,1,0,1,1,0,0,3,0,0,66,7500.0,0,2900,0,0,1,2015,0,7500.0,0,1,0,24,30
120,3493,9,0,2,0.0,1,2,0,2,3,0,0,0,0,0,0,0,1,0,0,0,750,0,0,0,1,1,0,0,6,0,0,37,11000.0,0,3000,0,0,1,2016,1,11000.0,0,1,0,24,76
121,3707,10,1,2,11000.0,0,1,0,1,10,0,0,0,1,0,1,3,2,0,0,1,750,0,1,0,1,1,1,1,4,0,0,64,7000.0,0,3000,0,0,0,2013,0,18000.0,0,1,0,11,40
122,466,5,0,2,9500.0,1,1,0,0,8,0,0,0,1,0,1,2,4,0,0,1,750,0,0,0,0,1,1,1,1,0,0,21,24000.0,1,3000,0,0,0,2020,0,33500.0,0,0,1,20,13
