fraud,authorities_contacted_police,collision_type_front,authorities_contacted_fire,injury_claim,vehicle_claim,customer_education,num_injuries,policy_state_or,policy_liability,driver_relationship_self,auto_year,policy_deductable,collision_type_na,num_vehicles_involved,customer_gender_male,police_report_available,driver_relationship_child,policy_state_nv,customer_age,num_claims_past_year,num_insurers_past_5_years,policy_state_ca,policy_state_wa,incident_type_breakin,months_as_customer,authorities_contacted_ambulance,policy_state_az,driver_relationship_na,incident_type_theft,authorities_contacted_none,incident_dow,collision_type_side,customer_gender_female,driver_relationship_spouse,driver_relationship_other,incident_hour,incident_month,incident_type_collision,policy_annual_premium,collision_type_rear,policy_state_id,incident_severity,total_claim_amount,num_witnesses,incident_day
0,0,0,0,9800.0,11966.177408090562,1,0,0,0,1,2016,750,0,1,0,0,0,0,55,0,1,1,0,0,199,0,0,0,0,1,4,1,1,0,0,9,4,1,2850,0,0,0,21766.17740809056,0,26
1,1,0,0,7600.0,14050.393335242163,1,0,0,0,1,2013,750,0,2,0,0,0,0,25,0,3,1,0,0,2,0,0,0,0,0,3,0,0,0,0,7,10,1,3000,1,0,1,21650.393335242166,1,17
0,0,1,1,7700.0,37569.67460476641,1,2,0,1,1,2019,750,0,2,0,0,0,0,70,0,1,1,0,0,69,0,0,0,0,0,1,0,1,0,0,17,10,1,2500,0,0,2,45269.67460476641,1,22
0,1,0,0,9400.0,13078.662929193604,3,1,0,3,0,2019,750,1,1,0,0,0,0,37,0,4,1,0,0,14,0,0,1,1,0,6,0,0,0,0,11,3,0,2650,0,0,1,22478.662929193604,0,17
0,1,0,0,32100.0,32257.812211212684,3,1,0,0,1,2017,750,0,3,0,1,0,0,56,0,1,0,0,0,139,0,1,0,0,0,5,0,1,0,0,8,3,1,3000,1,0,2,64357.81221121269,2,16
0,1,0,0,38100.0,25242.86017972717,3,0,0,0,0,2019,750,0,2,1,1,0,0,66,0,1,1,0,0,193,0,0,0,0,0,2,0,0,0,1,13,7,1,3000,1,0,1,63342.86017972718,1,10
0,1,1,0,2800.0,29368.18424710896,4,4,1,3,1,2016,750,0,3,1,1,0,0,35,0,2,0,0,0,52,0,0,0,0,0,4,0,0,0,0,9,8,1,3000,0,0,2,32168.18424710896,1,30
0,1,1,0,17300.0,21789.13489371683,2,1,0,1,0,2017,750,0,2,0,0,0,0,24,0,1,1,0,0,68,0,0,0,0,0,5,0,1,0,1,15,1,1,3000,0,0,1,39089.13489371683,1,12
0,1,1,0,23800.0,37749.93580263395,4,4,0,2,1,2016,750,0,3,1,1,0,0,62,0,1,0,0,0,65,0,0,0,0,0,2,0,0,0,0,11,11,1,3000,0,1,2,61549.93580263395,2,6
0,0,1,0,24100.0,1000.0,3,0,0,2,0,2015,750,0,2,0,0,1,0,45,0,5,1,0,0,4,0,0,0,0,1,1,0,1,0,0,5,3,1,3000,0,0,0,25100.0,0,5
0,1,0,0,29700.0,21524.97194068872,3,0,0,1,0,2019,750,1,1,0,1,0,0,40,0,1,1,0,0,119,0,0,1,1,0,1,0,0,0,0,7,12,0,3000,0,0,1,51224.97194068872,0,17
0,1,0,0,58400.0,14247.76686667085,2,0,0,0,0,2014,750,0,2,0,1,0,0,41,0,1,1,0,0,108,0,0,0,0,0,0,1,1,1,0,11,7,1,3000,0,0,0,72647.76686667085,0,29
0,1,1,0,9700.0,21123.02384420571,3,0,0,1,1,2017,750,0,3,0,1,0,0,46,0,1,1,0,0,60,0,0,0,0,0,6,0,1,0,0,19,8,1,3000,0,0,0,30823.023844205713,2,25
0,1,1,0,29100.0,34702.6208781512,1,0,0,0,1,2017,750,0,3,0,1,0,0,32,0,1,1,0,0,69,0,0,0,0,0,0,0,1,0,0,2,1,1,3000,0,0,2,63802.6208781512,2,21
0,1,1,0,29600.0,11990.409548244479,2,1,0,0,1,2015,750,0,2,1,0,0,0,35,0,1,1,0,0,54,0,0,0,0,0,0,0,0,0,0,14,12,1,3000,0,0,0,41590.40954824448,1,16
0,1,0,0,18500.0,10202.266353999776,1,0,0,0,1,2011,750,0,2,1,1,0,0,51,0,1,1,0,0,196,0,0,0,0,0,6,0,0,0,0,8,1,1,3000,1,0,1,28702.26635399977,0,6
0,1,0,0,60700.0,10701.73613376876,1,0,0,0,1,2017,750,0,3,0,1,0,0,56,2,1,1,0,0,73,0,0,0,0,0,4,1,0,0,0,2,9,1,3000,0,0,0,71401.73613376876,2,6
0,0,0,0,7100.0,4676.095825708291,1,0,0,0,1,2018,750,0,2,0,0,0,0,59,0,1,0,0,0,259,0,1,0,0,1,2,0,1,0,0,5,2,1,3000,1,0,0,11776.095825708291,2,20
0,1,0,0,26000.0,40582.70027653444,2,1,0,1,1,2020,750,0,3,0,1,0,0,48,0,2,1,0,0,35,0,0,0,0,0,0,1,1,0,0,12,11,1,3000,0,0,2,66582.70027653442,1,25
0,1,0,0,21700.0,2630.367072808707,2,0,0,2,1,2013,750,0,3,0,1,0,0,22,0,1,1,0,0,11,0,0,0,0,0,0,1,0,0,0,9,1,1,3000,0,0,0,24330.367072808713,0,14
0,0,0,0,6400.0,13975.528996237726,3,0,1,3,1,2015,750,0,2,0,0,0,0,49,0,1,0,0,0,92,0,0,0,0,1,4,0,1,0,0,20,11,1,3000,1,0,0,20375.528996237732,0,1
0,0,0,0,10600.0,10843.01602558235,3,0,0,1,1,2017,750,0,2,0,0,0,0,45,0,1,1,0,0,88,0,0,0,0,1,3,0,0,0,0,9,1,1,2800,1,0,0,21443.01602558235,1,3
0,1,0,0,69600.0,36633.332342024216,3,3,0,1,1,2018,750,0,3,1,1,0,0,52,0,1,1,0,0,22,0,0,0,0,0,0,0,0,0,0,10,8,1,3000,1,0,2,106233.33234202422,4,5
0,1,0,0,23000.0,12525.909334522712,4,0,0,0,0,2019,750,1,1,0,0,0,0,45,0,1,1,0,1,52,0,0,1,0,0,6,0,1,0,0,17,10,0,2700,0,0,0,35525.90933452272,0,13
0,1,1,0,5500.0,25113.171075385868,3,4,0,1,1,2014,750,0,3,0,1,0,0,41,0,1,0,0,0,122,0,1,0,0,0,4,0,1,0,0,21,12,1,3000,0,0,2,30613.171075385868,2,27
0,0,0,0,3100.0,7336.162280825024,4,0,0,1,1,2020,750,0,2,0,0,0,0,40,0,1,1,0,0,154,0,0,0,0,1,3,0,1,0,0,17,8,1,3000,1,0,0,10436.162280825025,0,22
0,1,1,0,18600.0,24357.038361867384,4,0,0,2,1,2015,750,0,3,0,1,0,0,24,0,3,1,0,0,38,0,0,0,0,0,3,0,1,0,0,2,5,1,3000,0,0,2,42957.03836186738,3,30
0,1,0,0,36400.0,16947.519122061298,4,1,0,1,1,2014,750,0,2,1,1,0,0,65,0,1,1,0,0,109,0,0,0,0,0,4,1,0,0,0,2,6,1,3000,0,0,1,53347.5191220613,0,14
0,1,0,0,4800.0,7150.45883151928,3,0,0,1,0,2013,750,1,1,0,0,0,0,46,0,1,1,0,1,88,0,0,1,0,0,4,0,1,0,0,17,8,0,2600,0,0,0,11950.45883151928,0,16
0,1,0,0,53400.0,6320.259440033184,1,0,0,0,0,2008,800,1,1,0,0,0,0,18,0,2,1,0,1,5,0,0,1,0,0,2,0,1,0,0,4,9,0,2800,0,0,1,59720.25944003317,0,18
0,1,0,0,68000.0,18864.595889701224,1,1,0,2,1,2010,750,0,3,0,1,0,0,68,0,1,1,0,0,115,0,0,0,0,0,4,1,1,0,0,18,6,1,2800,0,0,2,86864.59588970122,2,28
0,1,1,0,16000.0,11715.340896255751,3,0,0,0,1,2017,750,0,2,0,1,0,0,60,0,1,1,0,0,166,0,0,0,0,0,4,0,0,0,0,2,10,1,3000,0,0,0,27715.34089625575,0,4
0,0,1,0,47900.0,10329.304271972323,1,0,0,0,1,2011,750,0,2,0,0,0,0,32,0,1,1,0,0,121,0,0,0,0,1,4,0,0,0,0,20,10,1,2500,0,0,0,58229.30427197232,1,11
0,1,0,0,26500.0,10691.796172683204,3,0,0,1,0,2012,750,1,1,1,0,0,0,55,0,1,0,1,0,130,0,0,1,1,0,1,0,0,0,0,15,4,0,2650,0,0,1,37191.7961726832,0,30
0,1,1,0,11300.0,33355.71069891573,3,0,0,2,1,2017,750,0,2,0,0,0,1,26,2,3,0,0,0,46,0,0,0,0,0,6,0,1,0,0,19,3,1,3000,0,0,2,44655.71069891573,0,3
0,1,0,0,57100.0,16718.74248442566,3,0,0,2,1,2015,750,0,3,0,1,0,0,55,1,1,0,0,0,116,0,1,0,0,0,1,1,1,0,0,13,10,1,3000,0,0,1,73818.74248442566,1,29
0,1,0,0,17700.0,9782.216894974636,3,0,0,0,1,2012,750,0,3,0,1,0,0,26,0,1,1,0,0,70,0,0,0,0,0,3,1,1,0,0,15,2,1,2600,0,0,1,27482.216894974637,0,21
0,1,0,0,46200.0,17638.03741624354,1,0,0,0,0,2019,750,1,1,1,0,0,0,60,0,1,1,0,1,85,0,0,1,0,0,2,0,0,0,0,9,10,0,3000,0,0,0,63838.03741624353,1,30
0,0,0,0,3700.0,15025.067088277225,3,0,0,2,0,2015,750,0,2,0,0,0,0,33,0,1,0,1,0,115,1,0,0,0,0,5,0,0,1,0,6,8,1,2850,1,0,1,18725.067088277225,0,17
0,1,1,0,25700.0,13789.09975590599,1,0,0,1,1,2018,750,0,4,0,1,0,0,65,0,1,1,0,0,150,0,0,0,0,0,4,0,1,0,0,9,1,1,3000,0,0,0,39489.09975590598,2,4
0,1,0,0,14000.0,11969.191056270283,3,0,0,2,1,2017,750,0,2,0,0,0,0,42,0,3,1,0,0,46,0,0,0,0,0,3,1,1,0,0,12,1,1,3000,0,0,0,25969.191056270283,0,24
0,1,0,0,12600.0,24142.043172823636,1,0,0,0,0,2017,750,1,1,1,0,0,0,43,0,1,1,0,0,42,0,0,1,1,0,4,0,0,0,0,8,11,0,3000,0,0,1,36742.043172823636,0,8
0,1,1,0,17200.0,3609.3132383653383,3,0,0,0,1,2007,750,0,3,1,1,0,0,42,0,1,1,0,0,124,0,0,0,0,0,2,0,0,0,0,5,3,1,3000,0,0,1,20809.313238365343,2,27
1,0,0,0,12400.0,10146.398192918885,1,0,0,2,0,2013,750,0,2,1,0,0,0,65,0,1,1,0,0,270,0,0,0,0,1,0,1,0,0,1,14,12,1,3000,0,0,0,22546.39819291888,0,30
0,0,1,0,7500.0,15614.363337290228,1,0,0,2,0,2015,750,0,2,1,0,0,0,44,0,1,1,0,0,58,0,0,0,0,1,6,0,0,1,0,9,7,1,3000,0,0,0,23114.363337290226,1,14
0,1,0,0,20400.0,13906.455948439243,1,0,0,3,1,2014,750,0,3,1,1,0,0,65,0,1,1,0,0,124,0,0,0,0,0,2,1,0,0,0,16,2,1,3000,0,0,1,34306.455948439245,2,20
0,0,0,0,6100.0,18308.397950564507,2,0,0,0,1,2019,750,0,2,0,0,0,0,51,1,1,1,0,0,103,0,0,0,0,1,1,0,1,0,0,9,5,1,3000,1,0,0,24408.397950564507,2,7
0,0,1,0,66400.0,9178.003527908404,4,0,0,0,0,2014,750,0,2,0,0,0,0,51,0,1,1,0,0,183,0,0,0,0,1,4,0,1,1,0,7,10,1,3000,0,0,0,75578.00352790841,1,25
0,0,0,0,22800.0,7227.195225074525,1,0,0,3,1,2006,750,0,2,0,0,0,0,62,0,3,1,0,0,21,0,0,0,0,1,0,0,0,0,0,15,9,1,3000,1,0,0,30027.195225074527,0,2
0,0,0,0,7500.0,1000.0,3,0,0,2,1,2011,750,0,1,1,0,0,0,27,0,5,0,0,0,9,0,1,0,0,1,4,0,0,0,0,12,11,1,3000,1,0,0,8500.0,0,22
0,0,0,0,9300.0,16008.47307608833,1,1,0,2,1,2012,750,0,2,0,0,0,0,52,0,2,1,0,0,40,0,0,0,0,1,2,1,1,0,0,13,1,1,2750,0,0,0,25308.47307608833,0,9
0,0,1,0,19500.0,8939.44708750097,1,0,0,0,0,2013,750,0,2,0,0,0,0,31,0,1,1,0,0,136,0,0,0,0,1,3,0,0,1,0,8,11,1,3000,0,0,0,28439.44708750097,0,7
0,1,1,0,5500.0,12682.660367511016,4,0,0,0,1,2007,750,0,2,1,1,0,0,38,0,1,1,0,0,197,0,0,0,0,0,3,0,0,0,0,1,5,1,3000,0,0,1,18182.660367511016,0,23
0,1,0,0,10900.0,11076.225348246126,1,0,0,0,1,2016,750,0,3,1,1,0,0,34,0,4,1,0,0,15,0,0,0,0,0,6,1,0,0,0,5,2,1,3000,0,0,0,21976.225348246124,1,24
0,1,0,0,6300.0,9284.48216112772,4,1,0,2,1,2020,750,0,2,1,1,0,0,24,0,1,1,0,0,37,0,0,0,0,0,2,0,0,0,0,17,8,1,2800,1,0,0,15584.48216112772,0,7
0,0,1,0,25500.0,11197.122897856541,3,0,0,2,0,2020,750,0,2,0,0,0,0,44,0,1,0,0,0,57,0,0,0,0,1,4,0,1,1,0,17,10,1,3000,0,1,0,36697.12289785654,0,11
0,1,0,0,6200.0,10931.130825789442,2,0,0,0,0,2018,750,1,1,0,0,0,0,48,0,3,1,0,1,25,0,0,1,0,0,3,0,1,0,0,9,9,0,2950,0,0,0,17131.13082578944,0,5
1,0,1,0,4200.0,8519.101621661714,3,0,0,3,1,2020,750,0,2,1,0,0,0,23,0,2,0,1,0,4,0,0,0,0,1,5,0,0,0,0,15,12,1,3000,0,0,0,12719.101621661714,1,21
0,0,0,1,34600.0,31692.889936012365,1,0,0,1,1,2016,750,0,1,0,0,0,0,68,0,1,1,0,0,160,0,0,0,0,0,4,0,0,0,0,16,1,1,3000,1,0,2,66292.88993601236,0,4
0,0,1,0,10400.0,13710.551456818672,2,0,0,1,0,2016,750,0,1,1,0,0,0,42,0,1,1,0,0,126,0,0,0,0,1,4,0,0,1,0,9,10,1,3000,0,0,0,24110.551456818666,0,11
0,0,0,0,31600.0,11242.982029935341,3,0,0,0,1,2020,750,0,2,0,0,0,0,70,0,1,1,0,0,113,0,0,0,0,1,5,0,1,0,0,15,3,1,2700,1,0,0,42842.98202993534,1,23
0,1,0,0,94600.0,4339.112396362074,4,0,0,0,1,2019,750,0,3,0,1,0,0,59,0,1,1,0,0,183,0,0,0,0,0,5,1,0,0,0,13,11,1,3000,0,0,0,98939.11239636208,3,2
0,1,1,0,84000.0,44718.51665009745,2,0,0,1,0,2020,750,0,3,0,1,0,0,52,0,1,1,0,0,99,0,0,0,0,0,2,0,1,0,1,9,4,1,3000,0,0,2,128718.51665009744,1,3
0,1,0,0,43000.0,11744.413660868127,3,0,0,0,0,2008,750,1,1,0,0,0,0,62,0,1,1,0,1,137,0,0,1,0,0,4,0,1,0,0,15,4,0,3000,0,0,1,54744.41366086814,0,26
0,1,1,0,141700.0,10832.775494157951,1,1,0,3,1,2015,750,0,3,0,1,0,0,43,0,1,1,0,0,224,0,0,0,0,0,1,0,1,0,0,19,12,1,2550,0,0,1,152532.77549415795,2,24
0,0,1,0,9200.0,13269.087038542151,4,0,0,0,1,2010,750,0,2,0,0,0,0,48,0,2,1,0,0,24,0,0,0,0,1,6,0,0,0,0,10,12,1,3000,0,0,0,22469.087038542148,2,15
0,0,1,0,9800.0,9007.978255143984,4,0,0,2,1,2014,750,0,2,0,0,0,1,39,0,1,0,0,0,83,0,0,0,0,1,0,0,1,0,0,11,12,1,2950,0,0,0,18807.978255143986,0,30
0,1,1,0,13000.0,6327.417776043309,3,0,0,1,0,2011,750,0,3,0,1,0,0,63,0,1,1,0,0,79,0,0,0,0,0,2,0,1,1,0,13,10,1,3000,0,0,0,19327.417776043312,0,2
0,1,0,0,203500.0,23102.25420675039,3,0,0,0,0,2016,750,1,1,1,0,0,0,40,0,1,0,0,1,113,0,1,1,0,0,0,0,0,0,0,8,5,0,2900,0,0,0,226602.2542067504,0,27
0,1,0,0,3100.0,36390.18300249551,4,3,0,2,0,2020,750,0,2,1,1,0,0,37,0,2,1,0,0,42,0,0,0,0,0,0,1,0,0,1,0,4,1,3000,0,0,2,39490.18300249551,2,29
0,1,0,0,5400.0,15747.008919490398,2,0,0,1,0,2018,750,1,1,0,0,0,0,57,0,1,1,0,0,218,0,0,1,1,0,3,0,1,0,0,8,7,0,3000,0,0,1,21147.0089194904,0,4
0,0,1,0,13900.0,3541.164118292256,3,0,0,0,1,2010,750,0,1,1,0,0,0,66,0,1,1,0,0,231,0,0,0,0,1,2,0,0,0,0,11,8,1,2550,0,0,0,17441.164118292254,0,14
0,0,1,0,2300.0,13331.381328989399,3,0,0,1,0,2015,750,0,1,1,0,0,0,49,0,1,1,0,0,130,0,0,0,0,1,1,0,0,1,0,4,2,1,3000,0,0,0,15631.381328989399,0,26
0,0,0,0,24800.0,16959.02765329214,1,0,1,2,1,2013,750,0,2,0,0,0,0,34,0,4,0,0,0,29,1,0,0,0,0,4,0,1,0,0,17,4,1,3000,1,0,1,41759.02765329214,0,5
0,1,1,0,209800.0,33212.264735596014,3,1,1,1,0,2015,750,0,3,0,1,0,0,35,0,2,0,0,0,37,0,0,0,0,0,0,0,1,1,0,18,8,1,3000,0,0,2,243012.26473559602,3,5
